Date, Close/Last, Volume, Open, High, Low
08/07/2019,$41.93,577542,$41.54,$42.52,$41.22
08/06/2019,$42.53,939429,$42.30,$44.44,$41.63
08/05/2019,$42.29,992480,$43.03,$43.25,$41.28
08/02/2019,$43.24,1229159,$40.93,$43.32,$40.40
08/01/2019,$40.35,489908,$40.78,$41.74,$39.92
07/31/2019,$40.82,484275,$40.88,$41.36,$40.30
07/30/2019,$40.76,545589,$39.60,$41.74,$39.50
07/29/2019,$40.64,1073614,$42.14,$42.25,$39.31
07/26/2019,$42.09,594289,$42.00,$42.21,$41.13
07/25/2019,$41.83,857702,$42.84,$43.40,$41.51
07/24/2019,$42.98,788924,$42.81,$43.51,$42.27
07/23/2019,$42.97,803806,$42.02,$43.44,$41.35
07/22/2019,$42.20,895213,$43.43,$43.89,$42.12
07/19/2019,$43.59,1185405,$43.41,$44.10,$42.69
07/18/2019,$43.41,1042816,$43.87,$44.13,$42.69
07/17/2019,$44.25,972867,$44.37,$45.48,$44.06
07/16/2019,$44.41,809396,$44.07,$45.10,$43.22
07/15/2019,$44.22,812706,$43.35,$44.32,$42.03
07/12/2019,$43.34,1479439,$45.00,$45.04,$43.20
07/11/2019,$45.19,968983,$46.30,$46.36,$44.38
07/10/2019,$45.93,1069971,$45.24,$46.67,$44.59
07/09/2019,$45.15,743492,$45.08,$45.98,$44.55
07/08/2019,$45.45,1446734,$46.38,$48.48,$45.14
07/05/2019,$46.98,799966,$47.25,$47.50,$46.26
07/03/2019,$47.74,683841,$47.85,$47.91,$46.60
07/02/2019,$47.39,1377271,$49.49,$49.49,$46.55
07/01/2019,$49.30,1891677,$47.00,$49.32,$46.10
06/28/2019,$46.56,978077,$46.75,$47.48,$46.30
06/27/2019,$46.35,1334444,$47.10,$48.48,$46.02
06/26/2019,$47.20,1107360,$47.16,$47.95,$46.52
06/25/2019,$46.81,1104765,$48.07,$48.80,$45.90
06/24/2019,$48.03,1999162,$50.81,$50.86,$46.75
06/21/2019,$50.45,4195060,$48.50,$51.03,$46.20
06/20/2019,$49.71,4517134,$45.26,$50.20,$44.31
06/19/2019,$45.47,2670389,$41.20,$45.49,$41.20
06/18/2019,$41.05,1227226,$40.87,$41.88,$40.55
06/17/2019,$40.41,1919153,$39.20,$41.95,$38.70
06/14/2019,$39.01,1370357,$40.43,$40.48,$38.70
06/13/2019,$40.70,1167191,$42.03,$42.76,$40.40
06/12/2019,$41.82,1702480,$40.50,$41.85,$39.43
06/11/2019,$40.49,2898908,$43.80,$43.93,$40.14
06/10/2019,$43.14,7322633,$44.26,$46.65,$41.03
06/07/2019,$38.80,2578341,$35.99,$38.98,$35.31
06/06/2019,$35.70,914449,$35.35,$35.95,$34.30
06/05/2019,$35.59,1078223,$37.63,$37.99,$35.35
06/04/2019,$36.50,1583722,$35.05,$37.19,$34.80
06/03/2019,$34.66,2255623,$38.08,$38.31,$34.25
05/31/2019,$38.01,1522040,$38.50,$39.47,$37.50
05/30/2019,$39.12,1121791,$40.86,$41.36,$38.75
05/29/2019,$40.84,1101449,$42.61,$42.62,$40.12
05/28/2019,$42.76,1010158,$43.89,$44.32,$42.15
05/24/2019,$43.88,737960,$45.00,$45.43,$43.74
05/23/2019,$44.79,881422,$45.42,$46.19,$44.48
05/22/2019,$46.24,1492717,$44.58,$48.08,$44.31
05/21/2019,$44.58,898730,$44.22,$44.79,$43.64
